幅,はば,range(in range of 3 hours)
聞き手,ききて,listener
漠然,ばくぜん,ambiguous(vague+thing)
欲求,よっきゅう,desires
話し手,はなして,speaker
終わる,おわる,to end(int)
型,かた,pattern(model)
機能,きのう,function
手助け,てだすけ,a help
従い,したがい,in accordance with
導入,どうにゅう,introduction(to a story)
求める,もとめる,to wish for
促す,うながす,to encourage(tr)
状態,じょうたい,state(condition+condition)
上昇調,じょうしょうちょう,rising intonation(up+rise+tone)
信号,しんごう,traffic light
少額,しょうがく,small sum (of money)
近況報告,きんきょうほうこく,exchange of recent news
許可,きょか,permission
禁止,きんし,prohibition
身近,みぢか,near oneself
歯科医院,しかいいん,dental clinic
撮影,さつえい,photography 
飲食店,いんしょくてん,restaurant
相席,あいせき,sharing a table with someone
同室,どうしつ,same room
経験,けいけん,Experience
提示,ていじ,presentation
加える,くわえる,to add
繰り返し,くりかえし,repeat
行う,おこなう,to perform
職業,しょくぎょう,occupation
身分,みぶん,(social) standing
関する,かんする,to be related
得る,える,to get
反応,はんのう,reaction(anti-answer)
留意,りゅうい,paying attention(stationary point+idea)
約束,やくそく,promise(promise+bundle)
所持,しょじ,posession(place+hold)
上記,じょうき,above-mentioned
限る,かぎる,to restrict(tr)
切手,きって,postal stamp
業務,ぎょうむ,business(business+task)
可,か,acceptable
構成,こうせい,composed of(structure+become)
尊敬語,そんけいご,honor lang(precious+honor)
利用,りよう,use(benefit+use)
想定,そうてい,expectation(idea+determine)
独身,どくしん,Single+person
宗教,しゅうきょう,Religion
無縁,むえん,unrelated(non-affinity)
順,じゅん,order(sequence)
追う,おう,to follow after
描写,びょうしゃ,depiction(draw+copy)
語彙,ごい,vocabulary(word+type)
降りる,おりる,to get off(car)
時制,じせい,Grammatical tense
道順,みちじゅん,course(direction sequence?)
手順,てじゅん,procedure(sequence)
疑問,ぎもん,question(question+question)
詞,ことば,word
券売機,けんばいき,ticket machine
沿う,そう,to follow(the main course)
前後,ぜんご,before and after
従属節,じゅうぞくせつ,subordination clause(lesser+genus+joint)
前件,ぜんけん,previous case(cnt cases)
前提,えんてい,assumption
特徴,とくちょう,feature(spec+sign)
架空,かくう,imaginary(stand+empty)
詳しい,くわしい,detailed
用意,ようい,provide smth
規則,きそく,regulations
事項,じこう,facts
気味,きみ,feeling(tendency)
症状,しょうじょう,symptoms
気遣い,きづかい,worry
配慮,はいりょ,concern
公共,こうきょう,Public
必要性,ひつようせい,necessity
区切る,くぎる,to partition(district+cut)
期限,きげん,period limit
門限,もんげん,closing time
反対,はんたい,opposite(meaning)
吟味,ぎんみ,careful investigation(verify)
取り立てる,とりたてる,to emphasize
客観的,きゃっかんてき,objective(unbiased)
病状,びょうじょう,patien's condition
発話,はつわ,speech
一連,いちれん,sequence
患者,かんじゃ,patient

