一致,いっち,agreement
ポイント,ぽいんと,point
オンライン,おんらいん,online
除く,のぞく,to exclude
含む,ふくむ,to include
中身,なかみ,content
ズレ,ずれ,gap
分解,ぶんかい,decomposition(parts apart)
構成,こうせい,composition(parts together)
パターン,ぱたーん,pattern
合格,ごかく,passing a test(fit+status)
観る,みる,to watch
役割,やくわり,Role(duty+proportion)
お日様,おひさま,sun
東,ひがし,East
昇る,のぼる,to rise(intr)
継続,けいぞく,continuation
ドッカリ,どっかり,firmly places on(on a chair)
横たわる,よこたわる,to stretch out
滞在,たいざい,stay(at hotel)
希望,きぼう,wish(hope)
最短,さいたん,shortest
大差,たいさ,great difference
都度,つど,each(time)
修正,しゅうせい,correction
事実,じじつ,fact
沸騰,ふっとう,boiling
再確立,さいかくりつ,re-establish(connection)
同僚,どうりょう,coworker
横になる,よこになる,to lay down
吠える,はえる,to bark
見方,みかた,viewpoint
立場,たちば,viewpoint
組,くみ,group(set of objects)
合計,ごうけい,total amount
種類,しゅるい,kind(category)
時刻,じこく, (the) hour
操る,あやつる,to manager
同意する,どういする,to agree intr(に)
明確,めいかく,precise(definite)
休暇,きゅうか,day off(holiday)
特定,とくてい,specific(moment)
適する,てきする,to be fit for
捉え方,とらえかた,interpretation
苦手,にがて,poor at
意識,いしき,consciousness
得意,とくい,one strong point
勧める,すすめる,to recommend tr
及び,および,as well as
転がり落ちる,ころがりおちる,to fall down(stairs)
保つに余裕,たもつによゆう,extra money to maintain something
投げる,なげる,to throw
費,ひ,cost
窒素,ちっそ,nitrogen
酸素,さんそ,Oxygen
炭素,たんそ,Carbon
硫黄,いおう,sulfur
燐,りん,Phosphorus
